"focal_GC" "sister_GC" "delta_GC" "directionGC" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Pseudomonadale_jump9" 48.7 62.15 -13.45 "-1" "microaerophilic|anaerobic|NA|anaerobic|aerobic" "aerobic|aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|microaerophilic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|facultative|NA|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA" "NA|NA|NA|NA|bioreactor/digester" "wastewater|bioreactor/digester|NA|NA|NA|NA|NA|NA|NA|compost|wastewater|host|host|host|host|host|host|host|host|NA|host|NA|NA|host|host|NA|host|host|host|host|host|host|NA|host|NA|host|host|host|NA|NA|NA|NA|wastewater|soil|NA|NA|soil|soil|soil|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|petroleum|NA|NA|NA|NA|NA|NA|NA|NA|soil|host|NA|host|NA|host|soil|NA|host|host|NA|host|NA|NA|wastewater|host|NA|soil|host|sludge|NA|host|NA|soil|soil|host|NA|NA|NA|host|host|NA|NA|NA|host|host|NA|host|host|NA|NA|NA|host|host|NA|host|NA|NA|host|NA|host|host|NA|host|food|NA|host|NA|food|food|NA|NA|soil|NA|soil|host|soil|host|NA|soil|NA|NA|host|NA|NA|NA|NA|NA|host|NA|NA|host|host|host|food|NA|host|NA|host|NA|NA|NA|host|water|NA|host|NA|NA|host|host|NA|NA|NA|NA" "0"
"Pseudomonadale_jump10" 54.91 66.84 -11.93 "-1" NA "aerobic" NA "wastewater" "0"
"Pseudomonadale_jump11" 54.22 64.93 -10.71 "-1" "aerobic" "aerobic|aerobic" "host" "host|host" "0"
"Pseudomonadale_jump12" 56.69 63.15 -6.46 "-1" NA "NA|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic" NA "NA|host|soil|NA|host|host|NA|host" "0"
"Pseudomonadale_jump13" 58.99 62.63 -3.64 "-1" "aerobic" NA "host" NA "0"
"Enterobacterales_jump1" 57.6 44.73 12.87 "1" "NA|NA" NA "NA|NA" NA "0"
"Enterobacterales_jump2" 57.91 44.45 13.46 "1" NA NA NA NA "0"
"Enterobacterales_jump3" 30.42 42.4 -11.98 "-1" "anaerobic" NA "host" NA "0"
"Enterobacterales_jump4" 58.67 45.2 13.47 "1" "facultative|NA|facultative|facultative|facultative" "NA|NA|facultative|aerobic|facultative|aerobic|NA|facultative|facultative|facultative|aerobic|aerobic|NA|aerobic|NA|facultative|facultative|facultative|anaerobic|NA|NA|facultative|NA|NA" "sediment|NA|sediment|host|host" "NA|water|sediment|sediment|host|sediment|NA|sediment|host|sediment|host|host|NA|NA|NA|water|water|water|NA|NA|food|sediment|NA|NA" "0"
"Enterobacterales_jump5" 59.43 43.24 16.19 "1" "NA|NA" "NA|aerobic|NA|facultative|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|facultative|facultative|NA|NA|aerobic|NA|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|facultative|NA|facultative|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|facultative|facultative|facultative|facultative|facultative|facultative|NA|obligate aerobic|obligate aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|facultative|facultative|NA|NA|NA|NA|NA|aerobic|aerobic" "sediment|water" "NA|water|NA|sediment|NA|NA|NA|NA|NA|water|water|NA|sediment|water|NA|NA|NA|water|NA|NA|sediment|food|NA|NA|water|NA|NA|NA|NA|water|NA|NA|water|NA|water|NA|NA|host|NA|NA|water|host|NA|NA|NA|water|water|NA|NA|NA|NA|water|NA|NA|water|water|NA|NA|host|host|host|host|host|NA|NA|water|water|NA|NA|NA|sediment|water|sediment|NA|NA|water|water|NA|water|NA|NA|NA|NA|water|NA|water|NA|water|NA|water|NA|NA|water|NA|NA|NA|sediment|NA|host|sediment|NA|NA|host|host|NA|NA|NA|NA|water|water|water" "0"
"Enterobacterales_jump6" 41.98 49.28 -7.3 "-1" "aerobic" "aerobic|NA|NA|facultative" NA "water|NA|NA|sediment" "0"
"Enterobacterales_jump7" 48.87 42.04 6.83 "1" "aerobic" "facultative|facultative|facultative|facultative|facultative" "water" "host|host|host|host|host" "0"
"Enterobacterales_jump8" 48.14 37.99 10.15 "1" "obligate aerobic|aerobic" "NA|NA|NA|facultative|facultative|NA|NA|facultative|facultative|NA" "host|host" "NA|sediment|NA|host|sediment|NA|NA|host|host|NA" "0"
"Enterobacterales_jump9" 50.26 43.45 6.81 "1" "NA|aerobic" "facultative" "NA|host" NA "0"
"Enterobacterales_jump10" 57.36 48.75 8.61 "1" "NA|facultative" "aerobic" "host|host" "host" "0"
"Enterobacterales_jump11" 53.86 45.57 8.29 "1" "aerobic" "facultative|aerobic" "host" "water|water" "0"
"Enterobacterales_jump12" 32.91 55.47 -22.56 "-1" "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" "NA|NA|microaerophilic|NA" "NA|host|NA|NA|NA|NA|NA|host|host|host" "NA|NA|host|NA" "1"
"Enterobacterales_jump13" 49.75 56.98 -7.23 "-1" NA NA NA NA "1"
"Enterobacterales_jump14" 44.12 54.18 -10.06 "-1" NA NA NA NA "1"
"Enterobacterales_jump15" 25.46 42.47 -17.01 "-1" "aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA" "host|NA|NA|host|NA|NA|host|NA|NA|host|host|host|host|host|host|host|host|host|host|host|host|host|host|host|host|NA|host|host|host|host|host|NA" "host|NA|host" "1"
"Enterobacterales_jump16" 53.75 47.43 6.32 "1" "NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|aerobic|NA|facultative|aerobic|facultative|aerobic|NA" "facultative|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|facultative|facultative|facultative" "NA|soil|NA|host|NA|host|NA|soil|host|host|NA|host|NA|host|NA|soil" "host|host|host|host|host|water|host|host|host|host" "0"
"Enterobacterales_jump17" 52.08 59.91 -7.83 "-1" NA "aerobic" NA NA "1"
"Enterobacterales_jump18" 49.15 37.76 11.39 "1" "NA|NA" "aerobic|aerobic|aerobic|aerobic" "NA|NA" "host|NA|host|host" "0"
"Betaproteo_jump1" 42.45 52.33 -9.88 "-1" NA "NA|aerobic" NA "NA|water" "0"
"Betaproteo_jump2" 37.53 55.18 -17.65 "-1" NA "NA|NA|NA" NA "NA|NA|NA" "0"
"Betaproteo_jump3" 24.24 62.95 -38.71 "-1" NA "NA|aerobic|NA|NA|NA|NA|NA|aerobic|facultative|NA|aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|NA|aerobic|aerobic|obligate aerobic|NA|aerobic|microaerophilic|aerobic" "host" "NA|host|NA|NA|NA|NA|NA|host|sediment|NA|soil|NA|NA|NA|soil|NA|soil|NA|NA|NA|NA|wastewater|NA|NA|soil|NA|NA|NA|NA|rock|NA|NA|NA|soil|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|NA|sludge|NA|NA|NA|soil|soil|soil|NA|NA|soil|host|host|host|soil|host|host" "1"
"Betaproteo_jump4" 45.41 65.25 -19.84 "-1" NA "NA|NA|aerobic|facultative|NA|aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|aerobic" NA "NA|NA|host|sediment|NA|soil|NA|NA|NA|soil|NA|soil|NA|NA|NA|NA|wastewater|NA|NA|soil|NA|NA|NA|NA|rock|NA|NA|NA|soil|NA|NA|NA|NA|NA|NA|NA|NA|host" "0"
"Betaproteo_jump5" 52.59 56.78 -4.19 "-1" NA "aerobic" NA "soil" "0"
"Betaproteo_jump6" 45.49 65.32 -19.83 "-1" "NA|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|NA|NA|aerobic|aerobic" "NA|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|obligate aerobic|NA|obligate aerobic|NA|NA|aerobic|NA|aerobic|NA|NA|aerobic|NA|NA|aerobic|NA|NA|NA" "NA|NA|NA|water|water|water|NA|water|NA|water|NA|NA|host|water" "wastewater|host|host|host|host|NA|host|NA|host|soil|host|NA|host|NA|NA|soil|NA|soil|NA|NA|built|soil|NA|host|NA|NA|NA" "0"
"Betaproteo_jump7" 55.27 66.16 -10.89 "-1" "NA|NA" "NA|NA|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic|NA|NA|NA|microaerophilic|microaerophilic|aerobic" "NA|NA" "NA|NA|NA|wastewater|sediment|NA|soil|NA|NA|host|NA|water|NA|NA|NA|water|water|NA" "0"
"Betaproteo_jump8" 52.7 59.43 -6.73 "-1" "NA|NA" "facultative|NA|aerobic|NA|NA|NA|aerobic" "NA|water" "water|NA|water|NA|NA|NA|water" "0"
"Betaproteo_jump9" 69.92 53.61 16.31 "1" "aerobic" NA "soil" NA "0"
"Betaproteo_jump10" 31.23 64.89 -33.66 "-1" "NA|NA|NA|NA|NA" "aerobic|NA|aerobic|facultative|NA|aerobic|NA|NA|facultative|aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|microaerophilic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|anaerobic|anaerobic|anaerobic|NA|aerobic|NA|anaerobic|aerobic|obligate aerobic|NA|microaerophilic|aerobic|aerobic|aerobic|aerobic|microaerophilic|microaerophilic" "NA|NA|NA|NA|NA" "host|NA|host|sludge|NA|NA|NA|petroleum|soil|soil|NA|host|host|host|rock|NA|host|host|host|host|host|host|host|NA|soil|NA|NA|host|host|NA|NA|host|host|host|NA|NA|NA|NA|soil|compost|NA|host|host|host|host|NA|host|host" "1"
"Betaproteo_jump11" 53.89 62.92 -9.03 "-1" "NA|NA" "aerobic" "NA|NA" "soil" "0"
"Betaproteo_jump12" 51.21 67.24 -16.03 "-1" "NA|NA|NA" NA "NA|NA|NA" NA "0"
"Betaproteo_jump13" 48.73 60.34 -11.61 "-1" NA "facultative|facultative|aerobic" "soil" "water|water|soil" "0"
"Betaproteo_jump14" 49.03 56.06 -7.03 "-1" "facultative" "aerobic" "water" "soil" "0"
"Betaproteo_jump15" 37.87 63.64 -25.77 "-1" NA "aerobic|facultative|NA|facultative|NA|NA|NA|facultative|facultative|NA|NA|NA|aerobic|obligate aerobic|aerobic|obligate aerobic|facultative|aerobic" NA "wastewater|host|NA|NA|sediment|NA|NA|water|water|NA|host|NA|host|NA|host|soil|water|wastewater" "0"
"Betaproteo_jump16" 49.77 63.29 -13.52 "-1" "aerobic" "aerobic|facultative" "water" "wastewater|host" "0"
"Betaproteo_jump17" 51.1 63.64 -12.54 "-1" "microaerophilic|NA|microaerophilic|NA|microaerophilic|NA|microaerophilic|aerobic|microaerophilic|aerobic|microaerophilic|aerobic|aerobic|aerobic|aerobic|NA|NA|facultative|NA|NA|aerobic|NA|microaerophilic|aerobic|aerobic|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|facultative|NA|aerobic" "NA|facultative|NA|NA|NA|facultative|facultative|NA|NA|NA|aerobic|obligate aerobic|aerobic|obligate aerobic|facultative|aerobic" "host|NA|host|NA|host|NA|host|host|host|host|NA|host|host|host|host|NA|NA|host|NA|NA|host|NA|host|NA|host|NA|NA|host|host|host|host|host|NA|host|NA|host" "NA|NA|sediment|NA|NA|water|water|NA|host|NA|host|NA|host|soil|water|wastewater" "0"
"Betaproteo_jump18" 36.97 46.78 -9.81 "-1" "NA|NA|aerobic|NA|NA|NA|NA" "NA|NA|NA|NA|aerobic|aerobic|NA|NA|facultative|facultative|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|aerobic|aerobic" "water|NA|water|NA|water|NA|NA" "NA|NA|NA|NA|sediment|sludge|host|water|sediment|sediment|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|sediment|sediment|sediment" "0"
"Betaproteo_jump19" 50.68 44.04 6.64 "1" NA "aerobic|aerobic" NA "sediment|sediment" "0"
"Betaproteo_jump20" 54.78 63.01 -8.23 "-1" NA "NA|NA" NA "NA|NA" "0"
"Betaproteo_jump21" 45.06 60.33 -15.27 "-1" "NA|NA" "anaerobic" "NA|NA" NA "0"
"Betaproteo_jump22" 36.36 53.25 -16.89 "-1" NA "NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|aerobic|NA|NA|aerobic|aerobic" NA "NA|NA|NA|soil|NA|NA|NA|soil|soil|NA|NA|soil|soil" "0"
"Betaproteo_jump23" 63.29 53.25 10.04 "1" NA "NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|aerobic|NA|NA|aerobic|aerobic" NA "NA|NA|NA|soil|NA|NA|NA|soil|soil|NA|NA|soil|soil" "0"
"Betaproteo_jump24" NA NA NA NA NA NA NA NA "0"
